"시나리오별","시도별","성별","연령별","항목","단위","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","20 - 24세","추계인구","","1254177","1291625","1332263","1358803","1406296","1503991","1625176","1730467","1840020","1943918","2015317","2083708","2134522","2149399","2128638","2089009","2066122","2046142","2032746","2047375","2104873","2147005","2184965","2199686","2180962","2132031","2053328","1966071","1903816","1861266","1864530","1907265","1945084","1957691","1914220","1819759","1712887","1607722","1531096","1494654","1484342","1497451","1534260","1576405","1613309","1634084","1656631","1647591","1637892","1616028","1612791","1566923","1484776","1405228","1352417",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","25 - 29세","추계인구","","1128863","1104590","1115073","1155037","1200895","1245439","1271119","1293901","1319532","1377009","1488420","1607206","1709435","1820376","1924720","2004949","2065715","2106788","2130915","2127003","2104134","2074617","2051475","2044119","2059594","2090548","2122321","2166011","2179897","2166175","2120755","2045556","1965788","1904500","1861144","1862130","1902550","1945164","1959552","1929488","1844351","1755305","1655989","1580535","1544633","1539051","1540583","1576396","1625029","1663507","1695619","1712828","1695058","1679660","1655044",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","30 - 34세","추계인구","","1107757","1120701","1139037","1134064","1122787","1108634","1096220","1108456","1140313","1175924","1205098","1241977","1283330","1327562","1396598","1462611","1617868","1718664","1835282","1942221","2011119","2071235","2113010","2129033","2118539","2092150","2070461","2039837","2013992","2031533","2071079","2119019","2166319","2187307","2171339","2120294","2045655","1969823","1909544","1864224","1877257","1917946","1963703","1975213","1948719","1856510","1765495","1666377","1595783","1563225","1562091","1561344","1593655","1640746","1677571",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","35 - 39세","추계인구","","946541","976799","1008968","1041692","1065566","1085681","1106066","1126875","1133578","1125482","1110719","1098311","1105974","1137114","1180667","1237597","1222938","1264675","1296670","1352324","1479545","1594562","1701514","1811408","1915369","1996138","2055375","2114453","2147046","2125831","2092507","2062407","2033933","2012361","2049533","2082502","2133591","2175204","2200297","2177509","2134326","2060239","1986641","1920853","1871522","1887544","1920219","1964371","1981010","1955867","1867239","1775602","1673805","1599400","1565915",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","40 - 44세","추계인구","","771329","800106","831324","860784","891805","932497","964647","992748","1021777","1049028","1067679","1088526","1110551","1116252","1107894","1096983","1094033","1106082","1135674","1177254","1208951","1243808","1275865","1310383","1369828","1467844","1575793","1662595","1772055","1895918","1975280","2041639","2102133","2140853","2119774","2083152","2044892","2026553","2017430","2079435","2113987","2168151","2204694","2222650","2193282","2149420","2069252","1995148","1930092","1877437","1892398","1923936","1967944","1979185","1954043",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","45 - 49세","추계인구","","647637","662659","672662","690850","717636","748393","777891","808496","835910","862564","896421","932094","962786","994652","1022682","1045518","1067449","1088249","1097349","1092071","1066369","1060037","1072672","1106197","1150796","1192966","1211896","1252000","1282892","1332659","1438321","1562163","1648190","1756981","1877912","1957973","2050067","2105846","2158522","2136420","2104888","2057463","2048855","2035425","2125961","2154449","2200173","2228237","2244349","2206645","2159864","2075715","2000130","1931529","1880851",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","50 - 54세","추계인구","","512915","526610","543264","571706","599436","622471","640519","657383","674345","694651","717786","746556","777972","807529","839392","872627","908413","941455","970137","997147","1020272","1041324","1061757","1067472","1058177","1045311","1034625","1042467","1074104","1120450","1171759","1202721","1244370","1276020","1322985","1425679","1551725","1638383","1753805","1874127","1961827","2078358","2127006","2174567","2153964","2123620","2058038","2056212","2046854","2138136","2160734","2204543","2231491","2244211","2207260",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","55 - 59세","추계인구","","443264","457981","458865","461059","469290","484062","499087","520229","549123","579312","602630","615134","628849","646509","668597","693961","720283","750876","784223","817967","850304","885534","916315","946810","974738","995816","1014089","1041013","1048696","1036565","1025233","1018848","1028871","1057727","1101585","1148617","1188503","1228668","1267806","1314068","1420113","1546118","1633180","1737360","1857434","1951809","2080676","2123676","2176334","2148244","2115505","2045289","2045845","2036303","2128595",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","60 - 64세","추계인구","","359282","372700","375932","380591","380855","388218","407984","424128","433835","441973","453668","468221","488143","513822","540057","561022","578822","595683","614469","635925","663628","690840","721916","751807","781897","817825","867689","895248","924350","950969","964753","984412","1013969","1030288","1023359","1017483","1003285","1012370","1038323","1081239","1128921","1176122","1213715","1247802","1297261","1404900","1528218","1615386","1720944","1840431","1937587","2065374","2105499","2156283","2128317",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","65 - 69세","추계인구","","249885","270583","266636","278686","297437","312711","323160","334081","344354","351474","360503","369561","378995","386867","395836","408737","425134","445959","470051","498989","525383","539617","554235","572296","596180","623249","650596","686812","717748","746670","786126","823763","851230","880881","909221","925569","946202","981983","1011081","1008828","1007312","982408","991450","1006436","1047495","1095999","1150604","1187813","1224345","1271411","1382094","1500680","1585781","1689360","1808456",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","70 - 74세","추계인구","","172559","184812","188283","193449","193268","213140","217260","223699","235418","251294","263595","272834","284084","293362","301002","309324","316059","326889","338528","348366","364560","376332","394923","420774","447930","469728","482888","499887","518663","543965","568802","592322","626942","655781","683079","720174","760361","790845","821775","854731","875369","897257","940767","979241","980699","983369","948477","956466","969497","1009612","1061419","1115186","1152098","1189249","1235014",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","75 - 79세","추계인구","","93589","102268","105489","111763","119401","136655","144367","149380","150410","150575","154013","159218","170294","180815","192239","204739","211828","218764","225494","233635","260764","270466","279000","283042","287313","296749","312749","327656","347431","371995","392664","405729","421671","437251","461135","486198","510663","543047","571925","600927","638739","679260","712482","743323","779558","804154","826652","873516","915243","917522","922655","891575","899933","914385","954783",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","80세이상","추계인구","","67158","68501","71718","75469","80514","101644","105916","111863","118405","125661","133354","135489","140468","146360","153699","161402","169444","177958","186839","196115","222520","233185","244325","255872","267933","280585","306718","320404","330174","337554","347518","369877","392855","416895","442787","468030","495246","526381","561244","605917","650856","691867","740314","790154","845801","908998","979079","1046208","1110248","1188115","1264777","1339497","1418722","1496593","1552667",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","80 - 84세","추계인구","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","214202","227037","239537","256483","275992","291845","304066","319301","334776","360838","387547","410686","438974","465166","491882","526920","567927","601756","631903","668672","696308","719722","762492","800915","804085",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","85 - 89세","추계인구","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96605","104046","112397","117576","121489","126959","136974","147286","162581","176849","188964","198879","210619","221824","244965","267549","287025","309209","330352","354414","385986","421203","445118","468271","499163",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","90 - 94세","추계인구","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30024","31529","33200","34693","36684","39771","44238","49046","52553","55767","60109","66212","72887","84211","88979","92698","99590","107174","114711","130469","145710","158017","168603","180821","196922",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","95 - 99세","추계인구","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5792","6268","6612","6979","7413","8105","8506","9174","9633","10622","12251","14049","15652","16689","17537","19133","21534","24744","29728","30579","32281","35223","36739","40044","46194",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","100세 이상","추계인구","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","895","997","1109","1164","1209","1350","1462","1574","1701","1841","1985","2041","2182","2264","2438","2698","3003","3325","3554","3981","4492","5332","5770","6542","6303",
